id,slot,name,brand,retailer,url,price,band,family1,family2,family3,family4,sizes,petite,tall,plus,colors,attr1,attr2,pattern,note,checked,active,width
p001,bo1,The Perfect Vintage Jean,Madewell,Madewell,https://www.madewell.com/p/womens/clothing/jeans/slim-+-skinny-jeans/the-perfect-vintage-jean/NW282/?ccode=DM9401,128,$$,Classic,Natural,Minimal,Professional,23-33 + curvy,yes,yes,yes,medium indigo,,,,"A true vintage straight — structured enough to hold its line, soft enough to sit down in all day.",2026-08-13,yes,
p002,bo1,Marilyn Straight Jean,NYDJ,NYDJ,https://nydj.com/products/marilyn-straight-jeans-quinn,99,$$,Classic,Professional,Romantic,Minimal,00-28,yes,yes,yes,deep indigo,,,,"The Lift Tuck panel is real, not marketing — this is the pair I send petite clients and anyone who wants polish without stiffness.",2026-08-13,yes,
p003,bo1,Always Fits Good Legs Straight,Good American,Good American,https://www.goodamerican.com/products/always-fits-good-legs-straight-indigo316,159,$$$,Glam,Bold,Sporty,Edgy,00-24 adaptive,yes,yes,yes,medium blue,,,,One jean genuinely spans four sizes. Sculpts like shapewear without feeling like it.,2026-08-13,yes,
p004,bo1,High-Waisted Wow Straight Jean,Old Navy,Old Navy,https://oldnavy.gap.com/browse/product.do?pid=514553002&vid=3&pcid=3056201&cid=3056360#pdp-page-content,49,$,Natural,Sporty,Classic,Bold,0-30,yes,yes,yes,medium blue,,,,"My proof that great denim doesn't need three digits — honest stretch, huge size run, and the high waist holds all day.",2026-08-13,yes,
p005,bo1,501 Original Fit Jean,Levi's,Amazon,https://www.amazon.com/Levis-501-Original-Jeans-Women/dp/B077T29T24,72,$$,Bold,Edgy,Natural,Sporty,24-34 + plus,no,no,yes,medium wash,,,,The original for a reason. reads effortlessly cool with everything from blazers to tanks.,2026-08-13,yes,
p006,bo1,High Rise Vintage Slim Jean,Gap,Gap,https://www.gap.com/browse/product.do?pid=660492002,89,$$,Classic,Minimal,Natural,Professional,24-35,yes,yes,no,medium indigo,,,,"The quiet one — slim through the leg without being skinny, and the high rise is genuinely comfortable seated. A workhorse.",2026-08-13,yes,
p007,bo1,High Rise Wide Leg Hustler,Mother,Bloomingdales,https://www.bloomingdales.com/shop/product/mother-the-hustler-roller-sneak-jeans-in-homecoming?ID=5576534,278,$$$,Glam,Bold,Edgy,Romantic,23-34,no,no,no,dark indigo,,,,"The splurge of the group — a true 70s wide leg with a clean hem, so it reads polished rather than costume. It changes your proportions more than anything else here. Wear it with a heel you don't have to show.",2026-08-14,yes,
p008,bo1,We The Free Libre Wide-Leg Jean,Free People,Free People,https://www.freepeople.com/shop/we-the-free-libre-wide-leg-jeans/,98,$$,Romantic,Natural,Glam,Minimal,24-33,yes,no,no,medium blue,,,,"Soft and high and easy in a way most wide legs aren't — this is the pair for someone who wants the silhouette without the stiffness. The Short fit is a real petite inseam, not a token.",2026-08-14,yes,
p009,to5,Washable Stretch Silk Notch Collar Blouse,Quince,Quince,https://www.quince.com/women/silk/silk-notch-collar-blouse,85,$$,Minimal,Professional,Classic,,"XS-XL, 1X-3X",no,no,yes,"ivory, navy, black",,,,Machine-washable silk that doesn't look like a compromise — this is the one I recommend when someone tells me she loves silk but won't dry-clean. The notch collar sits well open or buttoned.,2026-08-14,yes,
p010,to5,Modern Classic Shirt,Talbots,Talbots,https://www.talbots.com/modern-classic-shirt/P263075445.html,95,$$,Classic,Professional,Natural,,XS-XL,yes,no,yes,clematis blue,,,,"A proper cotton shirt that comes in misses, petite, plus and plus petite — almost nobody does that last one well. Crisp enough under a blazer, relaxed enough to wear untucked.",2026-08-14,yes,
p011,to5,Dani Silk Charmeuse Blouse,L'Agence,Nordstrom,https://www.nordstrom.com/s/lagence-dani-silk-charmeuse-blouse/5371746,385,$$$,Glam,Professional,Classic,,XS-XL,no,no,no,"black, malachite green, blue mist, icy lilac",,,,"Silk charmeuse with enough weight to drape rather than cling — that is the whole difference between a good silk shirt and a shiny one. The three-quarter sleeve is the length that works with a watch, a bracelet, or nothing at all.",2026-08-14,yes,
p012,to5,Sara Silk Shirt,Boden,Boden,https://us.boden.com/products/women-sara-silk-shirt-ivory-t2000ivo,190,$$$,Classic,Professional,Romantic,,0-20/22,yes,no,yes,"ivory, black",,,,"Real silk in a semi-fitted shape that ends just above the hip — the proportion that sits under a blazer without bunching. The petite fit is properly redrafted, not just shortened.",2026-08-14,yes,
p013,to5,Shell Top in Silk Georgette,Theory,Theory,https://www.theory.com/women/tops/shell-top-in-silk-georgette/M0102539_001.html,195,$$$,Minimal,Professional,Glam,,"P, S, L, XL, XXL",no,no,no,"black, cream, navy, camel",,,,"The layering piece I'd buy first. Silk georgette under a jacket does something no cotton shell can — it moves, and it never announces itself as a shell.",2026-08-14,yes,
p014,to5,Silk Bias Long-Sleeve Blouse,Vince,Vince,https://www.vince.com/product/silk-bias-long-sleeve-blouse-V055413024OFFWHITE.html,448,$$$$,Glam,Minimal,Romantic,,XXS-XL,no,no,no,off white,,,,"The splurge, and the one that earns it. Cut on the bias, so it drapes around you rather than hanging off you — you feel the difference the moment it's on.",2026-08-14,yes,
p015,to5,Pintucked Cotton Blouse,COS,COS,https://www.cos.com/en-us/women/womenswear/tops/blouses/product/pintucked-cotton-blouse-off-white-1348512001,99,$$,Sporty,Minimal,Natural,,32-44 (EU),no,no,no,off white,,,,"The least fussy shirt in this group, and that's the point — crisp Pima poplin, pintucks at the sleeve, nothing else asking for attention. Machine washable, which for a white blouse matters more than it sounds.",2026-08-14,yes,
p016,to5,Frances Long Sleeve Fitted Shirt,AllSaints,AllSaints,https://www.allsaints.com/us/women/tops-and-shirts/frances-long-sleeve-fitted-shirt/USW009PF-437.html,239,$$$,Edgy,Bold,Romantic,,0-12,no,no,no,optic white,,,,"Fitted organic cotton with lace-up ties and a ladder-trimmed placket — the details are what make it, and they read confident rather than sweet. Wear it with something severe on the bottom.",2026-08-14,yes,
p017,to5,Tie Neck Blouse,Ann Taylor,Ann Taylor,https://www.anntaylor.com/844169.html?dwvar_844169_color=9000,98,$$,Romantic,Professional,Classic,,XXS-XXL,no,no,no,white,,,,"A tie neck does the work of a necklace, and this one is cotton so it actually washes. The cut is blousy — size down if you want it closer to the body.",2026-08-14,yes,
p018,to5,Willa Silk Placket Top,Alice + Olivia,Neiman Marcus,https://www.neimanmarcus.com/p/alice-olivia-willa-silk-placket-top-prod291410184,395,$$$,Glam,Bold,Romantic,,XS-XL,no,no,no,harvest print,,,floral,"Silk crepe de chine with a concealed placket, so the print runs clean down the front instead of being interrupted by a row of buttons. This is the one you wear when you want the shirt to be the whole outfit.",2026-08-14,yes,
p019,to5,Easy Care Tailored Shirt,Banana Republic Factory,Banana Republic Factory,https://bananarepublicfactory.gapfactory.com/browse/product.do?pid=872406021,80,$$,Classic,Professional,Minimal,Sporty,0-20,no,no,no,white,,,,"The workhorse — easy care means it comes out of the wash ready, which for a white shirt you actually wear is the whole point. Sizes run to 20, and it is almost always on sale.",2026-08-14,yes,
p020,to5,Hestia Blouse,Babaton,Aritzia,https://www.aritzia.com/us/en/product/hestia-blouse/122731.html,110,$$,Professional,Glam,Romantic,Classic,2XS-XL,no,no,no,"black, white",,,,"Matte satin is the trick here — it reads expensive without the shine that makes satin look like eveningwear at ten in the morning. The tie collar does the work, so the rest of the outfit can stay plain.",2026-08-14,yes,
p021,to5,McKenna Twist Front Top,Cinq à Sept,Bloomingdales,https://www.bloomingdales.com/shop/product/cinq-a-sept-mckenna-twist-front-top?ID=3781150&swatchColor=Black,295,$$$,Edgy,Glam,Professional,Bold,XXS-XL,no,no,no,"black, ivory, navy",,,,"The twist at the front is the whole garment — it does what a necklace or a belt would do, structurally, so nothing else has to. Sadie crepe holds the shape rather than draping out of it.",2026-08-14,yes,
p022,ja2,Classic Double-Weave Blazer,Old Navy,Old Navy,https://oldnavy.gap.com/browse/product.do?pid=766312012,50,$,Classic,Professional,Sporty,,"XS-4X, Regular/Tall/Petite",yes,yes,yes,black,,,,"Fifty dollars, sizes to 4X, and it comes in tall and petite — I kept looking for the catch and there isn't one. Buy it in black and stop thinking about it.",2026-08-14,yes,
p023,ja2,100% Organic Cotton Knit Blazer,Quince,Quince,https://www.quince.com/women/knit-blazer?color=black,80,$$,Natural,Minimal,Sporty,,"XS-XL, 1X-3X",no,no,yes,"black, camel, ivory, navy",,,,"Cotton knit, so it moves like a cardigan and reads like a blazer. This is the one for the woman who tells me she can't wear jackets — she usually means she can't wear stiff ones.",2026-08-14,yes,
p024,ja2,The Ultimate Stretch One-Button Blazer,Eloquii,Eloquii,https://www.eloquii.com/products/the-ultimate-stretch-one-button-blazer/1086364.html,110,$$,Professional,Classic,Glam,,14-32,no,no,yes,maritime blue,,,,Cut for a plus body from the start rather than graded up from a size 8 — you can feel the difference in the shoulder. Compact stretch knit that holds its shape through a whole day.,2026-08-14,yes,
p025,ja2,Stamford Ponte Blazer,Boden,Boden,https://us.boden.com/products/women-stamford-ponte-blazer-deep-wisteria-u0472prp,199,$$$,Romantic,Professional,Classic,,XS-XL (2-22),yes,no,yes,"deep wisteria, black, navy",,,,"Ponte with real shaping, which is rarer than it sounds — most comfortable blazers give up the waist entirely. The wisteria is worth a look if your whole wardrobe has quietly gone navy.",2026-08-14,yes,
p026,ja2,Polished Ponte Blazer,Talbots,Talbots,https://www.talbots.com/polished-ponte-blazer/P263079403.html,229,$$$,Classic,Professional,Minimal,,"2-18, petite/plus/plus petite",yes,no,yes,"black, rich burgundy",,,,"Misses, petite, plus and plus petite — almost nobody carries that fourth one. The peak lapel is what lifts it above a work basic, and the burgundy is more useful than you would expect.",2026-08-14,yes,
p027,ja2,Easy Travel Blazer,Talbots,Talbots,https://www.talbots.com/easy-travel-blazer/P263079402.html,229,$$$,Sporty,Natural,Professional,,"2-18, XS-L petite, 1X-3X plus",yes,no,yes,"black, indigo blue",,,,"Machine washable and unlined, so it packs flat and comes out of a suitcase ready to wear. This is the blazer I recommend to anyone who travels for work.",2026-08-14,yes,
p028,ja2,Aleida Lightweight Tri Blazer,AllSaints,AllSaints,https://www.allsaints.com/us/women/sale/aleida-lightweight-tri-blazer/USW008QZ-5.html,269,$$$,Edgy,Minimal,Bold,,0-12,no,no,no,black,,,,"Lightweight and open-front, so it layers without bulk — the shape does the work instead of the structure. Sharp without looking like it's trying.",2026-08-14,yes,
p029,ja2,Miller Double Breasted Dickey Jacket,Veronica Beard,Nordstrom,https://www.nordstrom.com/s/miller-dickey-jacket/6588417,795,$$$$,Glam,Classic,Professional,,0-14,no,no,no,"black, navy",,,,"The splurge, and it's really a system rather than a jacket — the dickeys zip in and change it completely. If you'll wear it weekly for a decade, the arithmetic works out.",2026-08-14,yes,
p030,ja6,Weather Proof Rain Trench Coat,Quince,Quince,https://www.quince.com/women/weatherproof-rain-trench-coat?color=true-black,90,$$,Sporty,Natural,Minimal,,XS-XL,no,no,no,"black, dark spruce, burgundy, storm blue, tea green, frost",,,,"The one that actually works in rain, which most trenches quietly don't. Cinched waist so it still has a shape, and six colours means you can skip the beige if beige has never suited you.",2026-08-14,yes,
p031,ja6,Comfort Stretch Trench Coat,Quince,Quince,https://www.quince.com/women/comfort-stretch-trench-coat?color=light-khaki,100,$$,Classic,Minimal,Natural,,XS-XL,no,no,no,"light khaki, dark khaki, olive, navy, black, coffee brown",,,,A hundred dollars for the classic shape in organic cotton with stretch — the stretch is what stops a trench feeling like armour. The belt comes off if you'd rather wear it open.,2026-08-14,yes,
p032,ja6,Comfort Stretch Long Trench Coat,Quince,Quince,https://www.quince.com/women/comfort-stretch-long-trench-coat?color=dark-khaki,130,$$,Professional,Minimal,Glam,,XS-XL,no,no,no,"light khaki, dark khaki, olive, navy, black, coffee brown",,,,"The long version, and the length is the whole point — it changes your line completely and makes everything underneath look deliberate. Belted wrist tabs are a detail you usually pay four figures for.",2026-08-14,yes,
p033,ja6,Classic Trench Coat with Belt,Mango,Mango,https://shop.mango.com/us/en/p/women/trench-coats-and-parkas/trench-coats/classic-trench-coat-with-belt_17075789,150,$$$,Classic,Professional,Romantic,,XXS-4XL,no,no,yes,"beige, black",,,,Proper 100% cotton with epaulettes and a back vent — the details that separate a real trench from a raincoat shape. The size run to 4XL is the widest I found anywhere in this category.,2026-08-14,yes,
p034,ja6,Classic Trench Coat,Abercrombie,Abercrombie,https://www.abercrombie.com/shop/us/p/classic-trench-coat-60567347,160,$$$,Classic,Natural,Sporty,,"XXS-XL, Petite/Regular/Tall",yes,yes,no,"camel, brown",,,,"Comes in petite, regular and tall, which for a coat that hits at the knee matters more than it does for anything else you own. Wind and water resistant without looking technical.",2026-08-14,yes,
p035,ja6,Mid-Length Chelsea Heritage Trench Coat,Burberry,Nordstrom,https://www.nordstrom.com/s/mid-length-chelsea-heritage-trench-coat/8505767,2850,$$$$,Classic,Professional,Glam,Minimal,0-12,no,no,no,black,,,,"The coat every other trench is quietly measured against — cotton gabardine woven in Yorkshire, leather-wrapped buckles, a fit that holds a waist. If you buy one coat in your life and keep it thirty years, this is the argument for it.",2026-08-14,yes,
p036,ja6,Classic Double-Breasted Belted Trench Coat,RISISSIDA,Amazon,https://www.amazon.com/RISISSIDA-Trench-Breasted-Waterproof-Overcoat/dp/B0D79PZFVS,75,$$,Classic,Natural,Sporty,,XS-3X,no,no,yes,"black, beige",,,,"Seventy-five dollars for a proper double-breasted trench that runs to 3X — notch lapel, removable belt, actually lined. This is where I'd send someone who wants the shape before she commits to the investment version.",2026-08-14,yes,
p037,sh7,Tried and True Chelsea Boots,Free People,Free People,https://www.freepeople.com/shop/tried-and-true-chelsea-boots/?color=001,148,$$,Sporty,Natural,Edgy,,6-11,no,no,no,black,,,,"The lug sole does all the work here. Pull-on, chunky, sturdy enough for a real winter — this is the boot for a woman who wants to stop thinking about her shoes in the morning.",2026-08-14,yes,medium
p038,sh7,Italian Leather Heeled Ankle Boot,Quince,Quince,https://www.quince.com/women/italian-leather-ankle-boot,150,$$$,Classic,Professional,Minimal,,5-11,no,no,no,"black, black suede, espresso, coffee suede, merlot",,,,"Italian leather at this price is the kind of thing I check twice. The 2.4 inch stacked heel is the height you can actually stand in all day, and a round toe is far kinder to a wide foot than anything pointed.",2026-08-14,yes,medium
p039,sh7,New Frontier Western Bootie,Free People,Nordstrom Rack,https://www.nordstromrack.com/s/new-frontier-western-bootie-women/5117525,158,$$$,Bold,Natural,Edgy,,6-10,no,no,no,coral fusion,,,,"A western bootie is either the best thing in your closet or fancy dress, and the difference is whether the appliqué knows when to stop. This one does — and at Rack prices it is worth the gamble.",2026-08-14,yes,medium
p040,sh7,Saige Bootie,Sam Edelman,Nordstrom,https://www.nordstrom.com/s/sam-edelman-saige-bootie-women/7882840,170,$$$,Glam,Professional,Romantic,,5-12,no,no,no,"black, cyprus tan, spiced pecan, cafe noir, warm nutmeg",,,,A demi block heel is the most useful heel there is — it reads dressy and walks like a flat. The square toe keeps it current without dating it to one particular year.,2026-08-14,yes,medium
